"Activity" "Person" "Time_Body_Accelerometer_LinearAcceleration_Mean_X" "Time_Body_Accelerometer_LinearAcceleration_Mean_Y" "Time_Body_Accelerometer_LinearAcceleration_Mean_Z" "Time_Body_Accelerometer_LinearAcceleration_StandardDeviation_X" "Time_Body_Accelerometer_LinearAcceleration_StandardDeviation_Y" "Time_Body_Accelerometer_LinearAcceleration_StandardDeviation_Z" "Time_Gravity_Accelerometer_LinearAcceleration_Mean_X" "Time_Gravity_Accelerometer_LinearAcceleration_Mean_Y" "Time_Gravity_Accelerometer_LinearAcceleration_Mean_Z" "Time_Gravity_Accelerometer_LinearAcceleration_StandardDeviation_X" "Time_Gravity_Accelerometer_LinearAcceleration_StandardDeviation_Y" "Time_Gravity_Accelerometer_LinearAcceleration_StandardDeviation_Z" "Time_Body_Accelerometer_Jerk_Mean_X" "Time_Body_Accelerometer_Jerk_Mean_Y" "Time_Body_Accelerometer_Jerk_Mean_Z" "Time_Body_Accelerometer_Jerk_StandardDeviation_X" "Time_Body_Accelerometer_Jerk_StandardDeviation_Y" "Time_Body_Accelerometer_Jerk_StandardDeviation_Z" "Time_Body_Gyroscope_AngularVelocity_Mean_X" "Time_Body_Gyroscope_AngularVelocity_Mean_Y" "Time_Body_Gyroscope_AngularVelocity_Mean_Z" "Time_Body_Gyroscope_AngularVelocity_StandardDeviation_X" "Time_Body_Gyroscope_AngularVelocity_StandardDeviation_Y" "Time_Body_Gyroscope_AngularVelocity_StandardDeviation_Z" "Time_Body_Accelerometer_Jerk_Mean_X" "Time_Body_Accelerometer_Jerk_Mean_Y" "Time_Body_Accelerometer_Jerk_Mean_Z" "Time_Body_Accelerometer_Jerk_StandardDeviation_X" "Time_Body_Accelerometer_Jerk_StandardDeviation_Y" "Time_Body_Accelerometer_Jerk_StandardDeviation_Z" "Frequency_Body_Accelerometer_LinearAcceleration_Mean_X" "Frequency_Body_Accelerometer_LinearAcceleration_Mean_Y" "Frequency_Body_Accelerometer_LinearAcceleration_Mean_Z" "Frequency_Body_Accelerometer_LinearAcceleration_StandardDeviation_X" "Frequency_Body_Accelerometer_LinearAcceleration_StandardDeviation_Y" "Frequency_Body_Accelerometer_LinearAcceleration_StandardDeviation_Z" "Frequency_Body_Accelerometer_Jerk_Mean_X" "Frequency_Body_Accelerometer_Jerk_Mean_Y" "Frequency_Body_Accelerometer_Jerk_Mean_Z" "Frequency_Body_Accelerometer_Jerk_StandardDeviation_X" "Frequency_Body_Accelerometer_Jerk_StandardDeviation_Y" "Frequency_Body_Accelerometer_Jerk_StandardDeviation_Z" "Frequency_Body_Gyroscope_AngularVelocity_Mean_X" "Frequency_Body_Gyroscope_AngularVelocity_Mean_Y" "Frequency_Body_Gyroscope_AngularVelocity_Mean_Z" "Frequency_Body_Gyroscope_AngularVelocity_StandardDeviation_X" "Frequency_Body_Gyroscope_AngularVelocity_StandardDeviation_Y" "Frequency_Body_Gyroscope_AngularVelocity_StandardDeviation_Z"
"LAYING" 1 0.272574900655738 -0.0163177532121311 -0.107160088262295 -0.971989435901639 -0.945576010327869 -0.966767599672131 -0.225603749229508 -0.0857942373770492 0.896978231639344 -0.962104382131148 -0.968871901147541 -0.97038079 0.0792076921639344 0.0152010497980328 -0.00318962539237705 -0.987983095573771 -0.98491855442623 -0.987573193278689 -0.0121981137868852 -0.108900449770492 0.0900195484754098 -0.976398469836066 -0.971011105901639 -0.98669668295082 -0.103300588622951 -0.0361274578327869 -0.0563869672459016 -0.985579046721311 -0.98857106442623 -0.994336277213115 -0.979040897704918 -0.965719682622951 -0.975512832622951 -0.969523051639344 -0.939676040819672 -0.963838671639344 -0.988091066557377 -0.984855225901639 -0.985510000327869 -0.98896331704918 -0.986199676557377 -0.988231329180328 -0.97517484 -0.976400408688525 -0.987398020983607 -0.976940311967213 -0.968392192786885 -0.987622865573771
"LAYING" 2 0.22159824394 -0.0405139534294 -0.11320355358 -0.9280564692 -0.83682740562 -0.826061401628 -0.24888179828 0.70554977346 0.4458177198 -0.8968300184 -0.90772000676 -0.85236629022 0.0810865342 0.0038382040088 0.010834236361 -0.958482112 -0.9241492736 -0.9548551108 -0.016553093978 -0.064486124088 0.14868943626 -0.87354386782 -0.9510904402 -0.9082846626 -0.107270949192 -0.04151728689 -0.0740501211 -0.9186085208 -0.9679072436 -0.9577901596 -0.9390990524 -0.86706520518 -0.8826668762 -0.9244374346 -0.8336255561 -0.81289155944 -0.9570738838 -0.9224626098 -0.9480609042 -0.9641607086 -0.9322178704 -0.9605869872 -0.850249174586 -0.9521914948 -0.909302721 -0.8822964508 -0.9512320494 -0.9165825082
"LAYING" 3 0.269780085577465 -0.0168462006729577 -0.107006279704225 -0.972960567323944 -0.944792875211268 -0.953476700140845 -0.19913309 0.658792072253521 0.722657502112676 -0.961063222394366 -0.961466681267606 -0.957164565211268 0.077908974656338 0.00706867100408451 -0.000143542544507042 -0.981489017183099 -0.976960542816901 -0.98281300056338 -0.0234756467113239 -0.0944580192535211 0.111440490309859 -0.975893061830986 -0.971484336197183 -0.976200771267606 -0.102049763957746 -0.0361961143943662 -0.0604927046338028 -0.980792372112676 -0.983135596619718 -0.988221713380282 -0.974359280140845 -0.954648102253521 -0.965406091549296 -0.972438525352113 -0.942791615915493 -0.950116956478873 -0.98147206915493 -0.977212387746479 -0.98038005915493 -0.983213244366197 -0.978343915774648 -0.983854158873239 -0.971949211126761 -0.973669098591549 -0.976164852112676 -0.977203498309859 -0.970627806901408 -0.978357126056338
"LAYING" 4 0.275516852741935 -0.0189556785048387 -0.101300477506452 -0.982776639193548 -0.962057544516129 -0.96369103483871 -0.241758478064516 0.837032099677419 0.48870318516129 -0.982512193064516 -0.981202749677419 -0.964807543870968 0.0769811125806452 0.0138041011306452 -0.00435625874355645 -0.98087931483871 -0.968710724677419 -0.982093162903226 -0.0208170540330645 -0.0718507159435484 0.137999561112903 -0.974545752096774 -0.977272653709677 -0.963505609032258 -0.10004449883871 -0.0389771765322581 -0.06873387 -0.980328645 -0.986762741935484 -0.983338279516129 -0.980665609032258 -0.961169982903226 -0.968332141612903 -0.983691129032258 -0.964094604193548 -0.96327908016129 -0.980513202258064 -0.968752113709677 -0.979122344354839 -0.983122615967742 -0.971044012741936 -0.983711904677419 -0.970167262903226 -0.978099682258065 -0.962341960806452 -0.975986433709677 -0.977032495483871 -0.967256854193548
"LAYING" 5 0.272653733493976 -0.0171426864421687 -0.10898146186747 -0.965019579518072 -0.973449968554217 -0.984672837228916 -0.680043155060241 0.725646622771084 0.68762385253012 -0.958959611084337 -0.986993149638554 -0.988819031566265 0.0772317998650602 0.011149573306747 -0.000988690855325301 -0.983605223493976 -0.974524522650602 -0.988260181084337 -0.0312072730559566 -0.0952628014096386 0.10860511373494 -0.981357611445783 -0.963617705662651 -0.973197523855422 -0.0956018266746988 -0.0371476597051807 -0.0599161477951807 -0.976105663493976 -0.984607728915663 -0.986958363975904 -0.97453373 -0.972798824096386 -0.985340447349398 -0.962085001204819 -0.974832075662651 -0.984740998192771 -0.983478561807229 -0.974878270963855 -0.986506488795181 -0.985278006987952 -0.975964111566265 -0.988558703373494 -0.974196217590361 -0.972061003493976 -0.97393233253012 -0.983944795060241 -0.959831365783133 -0.975417523855422
"LAYING" 6 0.2697721829375 -0.0191241036916667 -0.100708388208333 -0.953487472083333 -0.95570194875 -0.934122783125 -0.166438698 0.597990663541667 0.785672214166667 -0.937527898125 -0.980757824791667 -0.934478345416667 0.0858354095479167 0.00838982206916667 -0.0198607652175 -0.98409940875 -0.9722705525 -0.983755592083333 -0.0288036800270833 -0.134844833104167 0.108740069645833 -0.974829741041667 -0.953231383541667 -0.977703104375 -0.0947180738666667 -0.0327311631145833 -0.0638391813125 -0.985136999583333 -0.981110544166667 -0.988366308958333 -0.966163289583333 -0.958877013541667 -0.954431185208333 -0.949232412291667 -0.956021607291667 -0.928246355833333 -0.983380388541667 -0.972403280208333 -0.981125669375 -0.986525622291667 -0.974170311458333 -0.98504273375 -0.972467835 -0.964813887708333 -0.977355282916667 -0.975733498541667 -0.948158566666667 -0.979846639791667
"LAYING" 7 0.281096049113924 -0.0172895752574684 -0.108244457455696 -0.966628232405063 -0.965486803164557 -0.963091322658228 -0.257065537848101 0.642247839493671 0.765089395316456 -0.958728223291139 -0.987488540759494 -0.969478770759494 0.074844914764557 0.0144906648550633 -0.00615463563316456 -0.986793144050633 -0.975114156962025 -0.986113873417721 -0.0263118803544304 -0.0835418301265823 0.110303175443038 -0.979923385189873 -0.967805258481013 -0.97866689443038 -0.0988712264303798 -0.0383393173594937 -0.0611000629493671 -0.986966260379747 -0.989399778987342 -0.990658244683544 -0.974751676835443 -0.966892553797468 -0.971781983164557 -0.964298227848101 -0.966103552278481 -0.960698734050633 -0.98640249721519 -0.975682678734177 -0.984243118860759 -0.988513676582279 -0.976285720126582 -0.986542169873418 -0.978320363924051 -0.976349864177215 -0.979177334936709 -0.980566619113924 -0.964089109746835 -0.980550264303797
"LAYING" 8 0.273612594647059 -0.0168170816561765 -0.107768198367647 -0.938655775147059 -0.912005262794118 -0.944307325147059 -0.4373333925 0.509343568382353 0.861469428676471 -0.921903408823529 -0.954179415089706 -0.957679749558824 0.0802879303382353 0.00481214240941177 -0.00456453869294118 -0.968266558676471 -0.958251081617647 -0.971053946911765 -0.0172461992114706 -0.108920342720588 0.132824939294118 -0.954263293529412 -0.949919838676471 -0.937204285 -0.101675647102941 -0.0360771319908824 -0.0680189096323529 -0.968909325735294 -0.971012080735294 -0.979004109558824 -0.948754440147059 -0.927874554558824 -0.954788986911765 -0.93518901 -0.909695784117647 -0.942851794411765 -0.967615736911765 -0.957598401176471 -0.967081288676471 -0.972063804264706 -0.962284386470588 -0.973703302647059 -0.950456860588235 -0.953938244264706 -0.946315153676471 -0.955843128823529 -0.948316627794118 -0.940620289852941
"LAYING" 9 0.277850317179487 -0.0182021135384615 -0.107091801051282 -0.960701093076923 -0.967737521282051 -0.967969824358974 -0.488852274102564 0.956289021538462 0.256566122051282 -0.936337132307692 -0.985368504871795 -0.975385223589744 0.0867607247435897 0.00651666597948718 -0.0036616224725641 -0.982269282564103 -0.96266455025641 -0.984322631025641 -0.0220717125076923 -0.0780060872820513 0.163660929769231 -0.979853111282051 -0.977421428974359 -0.958923004358974 -0.102453043564103 -0.0406115229358974 -0.071099516948718 -0.983024773333333 -0.983116348717949 -0.989016794871795 -0.964494151794872 -0.963286396666667 -0.975757951794872 -0.95934020974359 -0.971739624615385 -0.965784787179487 -0.981685514102564 -0.963438294871795 -0.981942653076923 -0.984634525384615 -0.964491175128205 -0.985260214358974 -0.97547483 -0.977690912564103 -0.961708468974359 -0.981255567435897 -0.977637126923077 -0.961770968717949
"LAYING" 10 0.257564903365854 -0.0144490303219512 -0.12992056602439 -0.955028755365854 -0.944560412682927 -0.954322645853659 -0.456436405365854 0.968701783414634 0.147557229736585 -0.924595411707317 -0.972895000243902 -0.950616352439024 0.087999845804878 0.00195174169902439 0.00637542313439024 -0.97457748 -0.949880373902439 -0.978581395365854 -0.0127790614978049 -0.0774079145878049 0.170115462585366 -0.968410598780488 -0.960388878536585 -0.943991491707317 -0.106251373390244 -0.0444329122195122 -0.0702894631707317 -0.969448964878049 -0.968635602682927 -0.965992967804878 -0.956175315365854 -0.94218615902439 -0.96395766195122 -0.954777029512195 -0.948911811219512 -0.952212366585366 -0.974682323414634 -0.951255431463415 -0.975088280487805 -0.976852720243902 -0.951858156341463 -0.98076310902439 -0.959290079512195 -0.958819962926829 -0.940355340731707 -0.971396186097561 -0.961758604146342 -0.950494796341463
